Id,Employer,Jobtitle,Startdate,Enddate,Salary,Location,Experience,Specialization,description,no
288,Special Assistant To The President On New Media,Personal Assistant,Apr-2011,Mar-2013,NULL,Abuja - Aso Rock Villa,2,Media,"Managing the daily diary scheduling for the Special Assistant.
Receiving and attending to official and personal visitors of the Special Assistant
Attending to and monitoring of News and Information as it pertains to Nigeria and the Government on several social media platforms as they come in and reporting same to the Special Assistant.
Daily Monitoring of feedbacks, reactions and comments on the Presidents and Special assistant social media platforms.
Analyzing and reporting the peoples responses on the Presidents and Special Assistants social media page which makes for immediate accurate actions
Directing of Special project teams members  and keeping the Special Assistant updated on the progress of the project
Responsible for the Special Assistants itineraries.",3407
290,Dabarobjects Solutions Limited,"Head, Marketing and Sales",Oct-2008,Jan-2010,0,NULL,2,Marketing,"1.Creating and formulating the Sales and Marketing Plan and Working with the Chief Operation Officer to develop marketing strategies
2.Establishing client base of businesses through direct outside sales, in order to secure business for the company.
3.Validating and introducing companyâ€™s products to new clients â€“ and controlling all Marketing activities.
4.Identifying sales prospects in target markets and converting these to sales.
5.Liaising with other department to ensure high standard of design of leaflets, flyers, poster production and Co-ordinating the distribution of brochures and other literatures.
6.Updating new products and events on the website and liaising with other departments on overall content.
7.Managing existing customer and other support systems to bring about an overall product satisfaction.
8.Provide regular feedback of market conditions to Chief Operating Officer.
9. Implement the companyâ€™s overall promotional plan.
10. Organisation of staff events and other activities within the Department.",3407
294,Oracle and Company (Law Syndicate),Principal Admin Officer,Jul-2007,Dec-2007,0,NULL,0,Consulting,"1.    Analyzes unit operating practices such as record keeping systems, 
              forms control, office layout, personnel requirements, creating 
              new systems or revising established procedures.
             2.   Coordinate and implement office softwareâ€™s such as payroll,    
                    purchasing, record control, projects and budget accounting  
                    Operations.
Interpret and communicate operating policies and Assists with    
                    Special events planning.
       4.    Participates in interview of job applicants and conducts orientation     
              of new employees as needed.
        5.  Operate personal computer to access e-mail, electronic calendars,    
            and other basic office support software. Uses various software   
            applications, to assemble, manipulate and/or format data and/or    
            Reports.",3407
293,DCON Consulting (Settlement House),"Manager, Admin",Jan-2008,Sep-2008,0,NULL,0,HR,"Direct, coordinate and supervise staff, maintenance of the office, Human resource management, and oversee other support systems that allows the organization to operate effectively.
Implementation of Human resource procedures, policies and strategies.
Carrying out staff recruitment, training programs, staff benefits administration and compensations.
Coordinate and supervise Conference planning, and travelling, information and data processing, payrolls, mails, materials, security, records management, telecoms management, energy consumption and personal property procurement. 
Define the responsibilities of other staff from various departments; develop departmental plans, set goals and deadlines.
Implement procedures for improved productivity and customer services.
Oversee preparation, analysis, negotiation, review of contracts related to the purchase of equipments, materials, supplies, products and services.",3407
297,"Ogun State Bulk Purchasing Corporation. Abeokuta, Ogun state",P.A. to General Manager (NYSC),Feb-2004,Feb-2005,0,NULL,1,Finance,"Responsible for the General Manager Itinerary.
Attending to the official dates and engagements of the General   Manager.
          3.  Receiving official and private visitors of the General Manager.
          4.   writing reports on General Manager's official Â engagements               
                   with a view to documenting  same for record purposes.                                        
             5.   Writing the Manager's speech for any occasion and submitting   
Same for Vetting. 
Handled calls and scheduled appointments etc.
Carried out other related duties as assigned by the G.M.",3407
303,Safari Park Hotel and Casino,"Housekeeping department, Front Office department,Catering department",Sep-2008,Aug-2010,0,NULL,2,Hospitality,"Safari Park Hotel and Casino, Thika Road, Nairobi 
                                  Internship in the Housekeeping and Laundry Management Department
                                
 Duties and Accountabilities include:
ïƒ˜	Collecting soiled linen from various places.
ïƒ˜	Sorting the linen and processing them.
ïƒ˜	Inspecting and replacing damaged linen.
ïƒ˜	Distributing clean linen to the respective user departments.
ïƒ˜	Cleaning the guest rooms and making of the beddings.
ïƒ˜	Making flowers and taking them to the guest room.
ïƒ˜	Ensuring that the public areas are clean.
ïƒ˜	Maintaining different types of registers.

Jan 2010 to April 2010:  Safari Park Hotel and Casino, Thika Road, Nairobi 
                                	      Internship in the Front Office Management Department

 Duties and Accountabilities include:
ïƒ˜	Welcoming the arriving guests.
ïƒ˜	Providing information service.
ïƒ˜	Receiving and processing reservations.
ïƒ˜	Filling of the arrival and departure register (FIDELIO).
ïƒ˜	Communication and coordination with other department.
ïƒ˜	Dealing with complaints and handling them.


Sept 2010 to Dec 2010:    Safari Park Hotel and Casino, Thika Road, Nairobi 
                                	      Internship in the Catering Management Department
				
Duties and Accountabilities include:
ïƒ˜	Setting of mise en place
ïƒ˜	Welcoming guests and showing them their sitting table.
ïƒ˜	Serving the guests
ïƒ˜	Taking the guests order
ïƒ˜	Clearing and cleaning of tables.",4498
299,believers Magazine Internation Abuja,Marketing and Sales  Officer,Jan-2003,Jan-2004,0,NULL,1,Marketing,"1. Developed new marketing strategies to enhance increased sales output.
              2. Maintained corporate sales relationship with the customers/ clients
              3. Ensuring the delivery of quality service to customers/clients.
              4.  Made sales contacts with individuals, and organization",3407
301,fola Afe Agro Vet services,Account supervisor,Sep-2009,Dec-2011,60000,NULL,2,Banking,To study the trend of Account in bank .,3677
302,Cargill Ghana Limited,Service Engineer,Oct-2010,Jan-2012,0,NULL,2,Production,"â€¢	Conducting reliability centered maintenance on the RFO boiler
â€¢	Maintains equipment by conducting  preventive maintenance  
â€¢	Coordinates of lubrication on site
â€¢	Reading and interpreting of piping and instrumentation diagrams
â€¢	Reading and interpreting of engineering drawings
â€¢	Troubleshooting of hydraulic and pneumatic systems, pumps and conveyors
â€¢	Servicing of pumps and gear boxes
â€¢	Diagnoses the failure of machines 
â€¢	Carries out mechanical installations",5372
304,AWA .U. KÄ€LU  ( S.A.N ) & ASSOCIATES. ( Present Employer) Barristers and Solicitors and Legal Consu,Litigation,Oct-2009,Jan-2011,0,NULL,2,NGO,"Litigation process of individual and Corporate suits.
Interface between Corporate affairs commission and
Clients on issues related.",1832
305,lafarge WAPCO Cement,HSE SUPERVISOR,May-2009,Jan-2012,0,NULL,3,Construction,"Worked as HSE Supervisor in a two and a half years Expansion Project worth USD437 million dollar 2.2 million yearly tonnage of Cement plant, which includes the construction of a 90MW power plant. Responsibilities include;
â€¢	Developing specific health and safety guidelines and safe work procedures through hazard assessments.
â€¢	Ensuring proper identification of hazards and implementing appropriate measures to eliminate or control the hazard.
â€¢	Ensuring all staffs under their supervision has the required skills and are competent to perform the work safely using the appropriate safe work procedures.
â€¢	Arranging for health and safety training, regularly inspect their areas for hazardous conditions, and promptly correct unsafe work practices or hazardous conditions, and document these activities. This includes stopping work until any unsafe condition is corrected.
â€¢	HSE audit and weekly safety rounds
â€¢	Hazard and risk management, and documentation of job safety analyses
â€¢	Processing of work permits
â€¢	Accident/ incident investigations.
â€¢	Running tool-box meetings.
â€¢	Providing basic safety training.
â€¢	Emergency management.",6050
306,GEODETIC POSITIONING SERVICE LTD,HSE OFFICER,Jul-2005,Apr-2009,0,NULL,4,Construction,"Worked with Geodetic positioning, a subcontractor to Shell petroleum Development Company, as HSE Officer within Shell location in Sapele Flow station Delta State of Nigeria. And my duties are as follows;
â€¢	Ensured that all of Work Permit Procedure is implemented at the site referring to standard and regulation.
â€¢	Managed and maintained Health, Safety and Environmental aspect at the site in accordance with standards and regulations.
â€¢	Conduct Pre-Job Meeting including Safety Talk and/or Tool-box Meeting regarding to the Work Permit Issued.
â€¢	Ensure that the Risk Assessments are implemented during the job.
â€¢	Assist to the contractor to manage and maintain HSE Program (Safety Award, Drill, HSE Campaign, HSE Audit & Inspection, etc)
â€¢	Arrange Incident / Accident Report (Cause Tree Analyses/CTA), HSE Statistics report at the site, Daily / Weekly HSE Report.",6050
307,"MODERN STEEL RESOURCES COMPANY, WARRI, NIGERIA",SITE SUPERVISOR,Sep-2003,Jul-2005,0,NULL,2,Oil & Gas,"Leading a team of workers inside Warri Refining and Petrochemical Company in the reconstruction of bund walls round product storage tanks 09,10,27,28 and PMS storage tanks of 18,19,20 and 21. Duties include planning, coordinating and supervising all project operation, ensuring that project meets the specification, liaise with supervising departments; provide high level administrative and technical support to management. Others include;
â€¢	Adept at developing and maintaining administrative processes that reduce redundancy, improve accuracy and efficiency, and achieve organizational objectives. 
â€¢	Highly focused and results-oriented in supporting complex, deadline-driven operations, able to identify goals and priorities and resolve issues in initial stages.
â€¢	Collaborating with safety department to make sure that employees adhere strictly to health, safety and environmental (HSE) guidelines.
â€¢	Directs day to day field operations and maintaining cordial relationship between the companies.",6050
308,EMADAL Intercontinental Engineering Services Warri Delta State,DRILLER,Sep-2001,Jul-2003,0,NULL,2,Oil & Gas,"Worked as a driller, carried out the following job functions:
â€¢	Monitored the well condition at all times (i.e. depth, mud weight, weight on bit, possible deviation from course, etc.). Interpret and respond to downhole conditions.
â€¢	Assisted in the planning, organization and supervision of rig move operations.
â€¢	Performed drilling operations as instructed by the Toolpusher, Customer Representative and Tourpusher.
â€¢	Informed Toolpusher, Tourpusher and Customer Representative if a deviation from planned operation occurs.
â€¢	Maintained drilling parameters per client requirements and within Company guidelines and policy. 
â€¢	Operated in such a manner which results in achieving the operating plan and objectives, including but not limited to safety, downtime, client drilling curve, rig budget, manpower turnover, and rig appearance/housekeeping.
â€¢	knowledgeable of all Company safety policies and procedures that pertain to my area of responsibility, including fire fighting, emergency equipment, life-saving equipment, and emergency response.
â€¢	Keep accurate records of fluid displacement when tubulars are run in/pulled out of hole.
â€¢	Supervised the assembly, disassembly, and storage of all blowout prevention equipment as required by the well plan and instructed by the Toolpusher or Tourpusher.
â€¢	Review all available well planning documentation available on the rig.",6050
309,"Shell Petroleum Development Company Warri, Delta State",NYSC,Jun-2000,Jul-2001,0,NULL,1,Oil & Gas,"Worked in Production Information system-Oil and Gas Accounting unit of Production information system
Duties:
â€¢	Gas Accounting / Reporting
â€¢	Gas supply to Customers
â€¢	Condensate Accounting / Reporting
â€¢	Central Control Room activities",6050
313,Flour mills of Nigeria Plc,Internal Audit,Nov-2011,Jan-1935,2,NULL,-76,Finance,"ïƒ˜ Review the processes and procedures and ensure compliance to companyâ€™s standard.
ïƒ˜ Pre /Post audit of operational expenses and review of financial transactions.
ïƒ˜ Monitoring, evaluating, investigating and documentation of everyday financial transactions.
ïƒ˜ Monitoring Cost and ensure effective and efficient use of companyâ€™s resources.
ïƒ˜ Ensure compliance to organizational policies for safeguarding of the companyâ€™s asset.
ïƒ˜ Carryout investigations and make recommendations to management in order to achieve organization goals and objectives.",3880
312,"OCEANIC BANK PLC, NOW ECOBANK PLC, NIGERIA",MARKETING & CUSTOMER SERVICE OFFICER,May-2008,Feb-2012,0,NULL,4,Banking,Assigned with the functions of attending to prospective customers existing ones. Assisting in providing services & products to clients. Manages the front office and in charge of the management of data records. Also perform duty as assigned by my superior.,
315,Gbogboade & Co (Chartered Accountant),External Audit,Nov-2008,Sep-2009,360,NULL,1,Finance,"ïƒ˜ Preparation of clients books of account.
ïƒ˜ Preparation of bank reconciliation statement for clients.
ïƒ˜ Ascertaining true and fair view of clientâ€™s financial statements.
ïƒ˜ Review; examine schedules and document relevant to audit work.
ïƒ˜ Budget/credit controls and account reconciliation",3880
318,Korso Enterprises Co. ltd,Part time  accountant,Jun-2010,Apr-2012,0,NULL,2,Finance,I have gained rich experience in online filling of tax returns and book keeping,658
317,Eldoret Polytechnic,Accountant III,Jan-2007,Jun-2011,14,NULL,4,Finance,"I gained vast knowledge in payroll preparation, book keeping and online filling of tax returns",658
1113,ElSewedy Cables - Ethiopia,Financial Manager,Aug-2009,-,NULL,NULL,-2009,Finance,"Providing and interpreting financial information. 
Monitoring and interpreting cash flows and predicting future trends. 
Analyzing market changes and advising accordingly.
Formulating strategic and medium-term business plans.
Researching and reporting on factors influencing business performance.
Analyzing competitors and market trends.
Developing financial management mechanisms that minimize financial risk.
Conducting reviews and evaluations for cost-reduction opportunities.
Managing the company's financial accounting, monitoring and reporting systems.	
Liaising with auditors to ensure annual monitoring is carried out.
Developing external relationships with appropriate contacts e.g. auditors, solicitors, bankers and statutory organizations.
Producing accurate financial reports to specific deadlines.
Managing budgets.
Arranging new sources of finance for a company's debt facilities.
Keeping abreast of changes in financial regulations and legislation.
	
My main achievements in this job includes:-
Reduce the cash cycle by 40% in 2011.
Financing the working capital of the company with 90% in 2010.
Decreasing the foreign currency risk of the local cash reserve to be 35% in 2010 compared with 88% in 2009.",5488
1114,Travco Group International,Chief Accountant & Consolidation Supervisor,Jan-2007,Aug-2009,NULL,NULL,2,Finance,"Prepare the consolidated financial statements for the hotels’ sector.
Prepare & analyze the monthly report of revenue, expenses & operation statistic's.
Prepare annual budget for the owning companies in monthly basis.
Analyze and trace the budget deviation with the actual results for the hotels in monthly basis.
Negotiate with banks to get loan facilities with best conditions, get higher possible deposit interest rates & best foreign exchange rates.
Supervise the accounting system for the hotels sector.
Supervise the preparing team of the quarter & annual financial positions for the owning companies. 
Supervise the accounting procedures processing. 
Part of team in preparing five years plan for the owning companies in yearly basis.
Part of team in preparing the visibility study for the under construction hotels.
Analyze hotels' inventory in monthly basis.
Analyze the general expenses in monthly basis.
Analyze hotels operation's cost in monthly basis.
Follow up with regular accrued taxes.
Reconcile the shareholders current account in monthly basis & the dividends in annual basis.

Main achievements:
Implement & activate automated consolidation system for the group including reporting package.
Capex Financing in foreign currency for the under construction hotels by 75% of total cost with interest of 0.9% + Libor",5488
1115,Alpha Chemical Egypt ,Senior accountant,Sep-2001,Jan-2007,NULL,NULL,6,Finance,"Review all sales & purchases operations Analyze factory’s inventory in monthly basis.
Analyze the general expenses in monthly basis. 
Analyze the operation's cost in monthly basis.
Supervise the accounting procedures processing (journal entries, issuing invoices, A/P & A/R reconciliation and the general ledger).
Audit monthly trial balance
Analyze debtors & creditors accounts.
Follow up with regular accrued taxes.
Prepare weekly report of banks liquidity.
Part of team in preparing the annual financial statements",5488
323,Skye Bank Plc,Relationship Officer (Assistant banking Officer),Mar-2008,Dec-2012,0,NULL,4,Marketing,"Investment mangement for existing customers, creation and monitoring o9f risk asset portfolio of customers and business development",5197
324,GATKAB LIMITED (UNILEVER GHANA LIMITED),Data Entry Operator (Unilever Ultra System Operator),Jan-2010,Feb-2012,0,NULL,2,Secreatry,"Responsible for developing good client relationships and managing the full documentation of all completed work.

â€¢	Maintain records and files for multiple work tasks
â€¢	Compile and proofread reports for accuracy and completeness
â€¢	Enter data from recorded material or hand-written pages into specified files and forms, checking and verifying entries 
â€¢	Gather additional information for incomplete documentation
â€¢	Provide daily status of tasks completed during working hours",6142
325,Airtel Nigeria,Customer Care  Officer,Jun-2009,Sep-2011,0,NULL,2,Telecoms,"ï¶	Customer relations and management 
ï¶	Telemarketing of freshly launched products 
ï¶	Retention of customer on the network. 
ï¶	 Monitoring of customers activities on their lines . 
ï¶	Resolving of subscribers/ customers queries. 
ï¶	Provision of feedback from customer to marketing and products department",2467
326,MIH Internet Africa: Mocality Nigeria,Senior Customer Support and Data Quality Moderator,Sep-2011,Dec-2011,125,NULL,0,Telecoms,"ï¶	Data Moderation.
ï¶	Resolving of issues encountered by agents.
ï¶	Provision of feedback from customer
ï¶	Verification of data submitted by agent
ï¶	Resolution of submitted tickets issues",2467
327,IL Bagno,HR & Strategy Officer,Jan-2012,Dec-2011,142,NULL,-1,HR,"ï¶	Assist the Head Human Resources in manpower Planning and forecasting.
ï¶	Liaise with Line Supervisors in Identifying employee training needs.
ï¶	Assist in driving and implementing organization-wide charge initiatives
ï¶	Provide information and assistance to staff on general HR and work related issues",2467
328,Buildmart Ghana Ltd,Finance / Administrative Manager,Feb-2012,Jan-2020,0,NULL,8,Finance,"Finance 
â€¢ Manage all aspects of the Finance function including General Ledger, Fixed Assets, Accounts Payable,    
Accounts Receivable, Petty Cash, Bank Reconciliations etc
â€¢ Prepare monthly financial statements, management accounts and cash flows
â€¢ Prepare annual budgets and quarterly forecasts 
â€¢ Review and track performance by monitoring variance from plan, highlighting potential issues 
â€¢ Prepare year end statutory accounts 
â€¢ Maintain appropriate controls to ensure costs are within budgeted levels 
â€¢ Implement internal controls to protect and safeguard companyâ€™s assets 
â€¢ Liaise with external auditors, tax agents, bankers, insurers and statutory bodies 

Human Resource 
â€¢ Responsible for hiring, orientation of new hires and conducting exit interviews 
â€¢ Administer HR policies 
â€¢ Manage payroll and staff benefits including leave management  
â€¢ Responsible for collating annual staff reviews and evaluations 
â€¢ Maintain all HR files and information 

Administration 
â€¢ General day-to-day office administration. Ensure efficient provision of office services, upkeep of office and equipment and supply of office supplies 
â€¢ Responsible for the purchasing of all office supplies, computers and equipment",4300
329,Buildmart Ghana Ltd,Finance / Administrative Manager,Feb-2012,Jan-2020,0,NULL,8,Finance,"Finance 
â€¢ Manage all aspects of the Finance function including General Ledger, Fixed Assets, Accounts Payable,    
Accounts Receivable, Petty Cash, Bank Reconciliations etc
â€¢ Prepare monthly financial statements, management accounts and cash flows
â€¢ Prepare annual budgets and quarterly forecasts 
â€¢ Review and track performance by monitoring variance from plan, highlighting potential issues 
â€¢ Prepare year end statutory accounts 
â€¢ Maintain appropriate controls to ensure costs are within budgeted levels 
â€¢ Implement internal controls to protect and safeguard companyâ€™s assets 
â€¢ Liaise with external auditors, tax agents, bankers, insurers and statutory bodies 

Human Resource 
â€¢ Responsible for hiring, orientation of new hires and conducting exit interviews 
â€¢ Administer HR policies 
â€¢ Manage payroll and staff benefits including leave management  
â€¢ Responsible for collating annual staff reviews and evaluations 
â€¢ Maintain all HR files and information 

Administration 
â€¢ General day-to-day office administration. Ensure efficient provision of office services, upkeep of office and equipment and supply of office supplies 
â€¢ Responsible for the purchasing of all office supplies, computers and equipment",4300
330,Buildmart Ghana Ltd,Finance / Administrative Manager,Feb-2012,Jan-2020,0,NULL,8,Finance,"Finance 
â€¢ Manage all aspects of the Finance function including General Ledger, Fixed Assets, Accounts Payable,    
Accounts Receivable, Petty Cash, Bank Reconciliations etc
â€¢ Prepare monthly financial statements, management accounts and cash flows
â€¢ Prepare annual budgets and quarterly forecasts 
â€¢ Review and track performance by monitoring variance from plan, highlighting potential issues 
â€¢ Prepare year end statutory accounts 
â€¢ Maintain appropriate controls to ensure costs are within budgeted levels 
â€¢ Implement internal controls to protect and safeguard companyâ€™s assets 
â€¢ Liaise with external auditors, tax agents, bankers, insurers and statutory bodies 

Human Resource 
â€¢ Responsible for hiring, orientation of new hires and conducting exit interviews 
â€¢ Administer HR policies 
â€¢ Manage payroll and staff benefits including leave management  
â€¢ Responsible for collating annual staff reviews and evaluations 
â€¢ Maintain all HR files and information 

Administration 
â€¢ General day-to-day office administration. Ensure efficient provision of office services, upkeep of office and equipment and supply of office supplies 
â€¢ Responsible for the purchasing of all office supplies, computers and equipment",4300
331,OPSM, Web Developer,Sep-1935,Apr-1935,60000,NULL,0,Finance,,
332,OPSM, Web Developer,Sep-1935,Apr-1935,60000,NULL,0,Finance,,
429,Skyward Research & Consulting Ltd,"Director, Engineering Services & Training",Aug-2005,May-2012,NULL,NULL,7,Education,"1. Solar Energy Consulting, Research, Training, and Installations
2. Human Resources Consultancy & Training
3. Training Design and Applications
4. Seminars and Workshops on Energy",2172
337,KEYSTONE BANK LIMITED,CUSTOMER CARE SERVICES,Feb-2009,Apr-2012,916897,NULL,3,Banking,General customer services,1470
338,KEYSTONE BANK LIMITED,CUSTOMER CARE SERVICES,Feb-2009,Apr-2012,916897,NULL,3,Banking,General customer services,1470
339,KEYSTONE BANK LIMITED,CUSTOMER CARE SERVICES,Feb-2009,Apr-2012,916897,NULL,3,Banking,General customer services,1470
340,"federal university of technology akure, ondo state",account clerk,Mar-2008,Mar-2009,8,NULL,1,Finance,reconciliation of account.,1974
341,Standard Chartered Bank,Sales representative,Feb-2011,Jan-2012,70,NULL,1,Marketing,,3246
342,LogicPointn Nig. Ltd,Account Manager,Aug-2010,Apr-2012,4000000,NULL,2,Marketing,"?	Maintaining relationship with current clients and ensuring satisfaction
?	Finding new business opportunity with current clients
?	Pursuing business opportunities with new clients
?	Preparing presentations for top executives and information technology staff of potential client
?	Quotes pricing and contract terms, prepares sales contract for order obtained
?	responding to tender documents, writing proposals, reports and supporting literature;
?	Managing your own diary in order to organize and prioritize daily and weekly goals
?	Contributing to team or progress meetings to update and inform colleagues
?	Ensuring quality of service by developing a thorough and detailed knowledge of technical specifications and other features of employers' systems and processes, and then documenting them;
?	Identifying and developing new business through networking and courtesy and follow-up calls;
?	Cold-calling in order to create interest in products and services and generate new business leads and arrange meetings;
?	Identifying opportunities for further sales and new areas for development through detailed research of the specific industry or market;
?	Preparing and delivering customer presentations and demonstrations of the software, articulately and confidently;
?	Marketing and promoting a portfolio of products by writing and designing sales literature and through attending industry events;
?	Maintaining awareness and keeping abreast of constantly changing software, hardware systems and peripherals;
?	Developing effective sales plans utilising sales methodology;
?	Providing technical advice to customers on all aspects of the installation and use of computer systems and networks, both before and after the sale;
",2987
343,chisco group of companies,account officer,Mar-2012,Apr-,600000,NULL,-2012,Finance,"•     Writing up of books of account from source      document
•	Assist in the extraction of trial balance
•	Maintenance of ledger
•	Vouching of documents
•	Prepare payment voucher
•	Monitoring of branch financial activities and reporting discrepancies to the head of account
•	Any other job functions as may be assigned.
",1205
344,DATUM CONSTRUCTION(NIG)LTD,ASST PERSONNEL MANAGER,Mar-2010,Dec-2010,80000,NULL,0,Finance,,6121
345,DAAR Communications,Customer Care relations officer,Jan-2008,Jun-2009,100000,NULL,1,Advertising,"Supervisor Customer care Unit
Uploads of Customer details
daily review of calls and problem solving
Management of database software ",4206
347,TNT/IAS Express,Credit Control officer,Jan-2010,Jun-2011,120000,NULL,1,Finance,"Collection of back log debts
Creating of multiple streams of income for the subsidiary company
",4206
348,Technova Construction Nigeria,Group Operations manager,Aug-2011,Apr-2012,2000000,NULL,1,Construction,"General operations overview
management of site duties
upgrade and management of new staff and records
Supervisory of all daily activities on site
Sourcing for new business
development of new business ideas

",4206
349,F.C.T JUDICIAL SERVICE COMMITTEE,GENERAL ADMINISTRATION,Feb-2000,Feb-2020,NULL,NULL,20,HR,GENERAL ADMINISTRATIVE DUTIES,3405
350,ECOBANK NIGERIA- FORMER OCEANIC BANK PLC,ADMINISTRATIVE SECRETARY,Aug-2009,Feb-2012,NULL,NULL,3,Secreatry,"-Office Administration-manage petty cash,procurement of office supplies and services.
-Posting of expenses via SAP Module.
-Maintenance of employee data.
-Supervision of store and issuance of store items via SAP Module.
-Supervision of support staff (security staff, drivers, cleaners and office assistant.
-Maintaining a well organize filing system.
-Maintenance of office equipment &machinery as at when due.
-Ensure prompt settlement of utility bills.
-Screening of incoming and outgoing correspondences and routing them appropriately.
-Attending to customers basic need and inquiries.
 ",1088
351,corner stone insurance plc,industrial attarchment,Oct-2005,Aug-2006,15000,NULL,1,Finance,"financial control unit. 
data entry of management expenses.
internal audit on management expenses",4658
352,STARCOMMS PLC,"Customer Service, Business Solutions Administrator, Business Solutions Executive and presently NOC",Sep-2008,Apr-2012,60000,NULL,4,IT-Hardware,"NWANKWO EMEKA EMMANUEL
4 Joe Onabanjo  Close ,off Ugalli street,              
Ire-Akari Estate, Isolo.
Lagos  State.
08061164340, 07028000497
emeka.nwan@yahoo.com
               

CAREER OBJECTIVE: 

To be a functional member of an ethical working environment that will foster teamwork, achieve professional excellence, self-development, Advancement and Improvement while enjoying job satisfaction and achieving corporate goals.  

BIO DATA

Sex:			                  Male 
Date of Birth:		          17th January 1985 
State of Origin:		          Anambra State 
Nationality:		                  Nigerian 
Marital status:		          Single 

QUALIFICATION AND DATE OBTAINED 

2004-2009			                   Nnamdi  Azikiwe University, Awka
				Anambra State
				B.Sc (Hons) Computer Science 

1994-2000			                    Beautiful Gate Secondary School, Ejigbo
 Lagos State
				Senior School Leaving Certificate 

PERSONAL ATTRIBUTES 

•	Ability to make effective individual contribution within a team.
•	Excellent use of initiative.
•	Self motivated personality with ability to work hard and under pressure.
•	Excellent time management.
•	Strong commitment in learning and personal development.
•	Excellent communication and interpersonal skills. 

WORK EXPERIENCE 
March 2012 - till date                                                                 Starcomms Plc
                                                                                                        Network Operations Centre
                                                                                                        Plot 1261 Bishop Kale close, off saka tinubu
                                                                                                        VI Lagos


  Job Responsibilities

  • To maintain the Network Operations within respective responsibilities realm.
  • Provide network continuity and innovation in supporting relevant lines of business.
  • Manage escalations where appropriate.
  • Ensure issue resolution by taking ownership on all issues receive as First Contact.
	

   Feb 2012 – Feb 2012                                                                  Starcomms Plc
                                                                                                           Business Solutions Executive
                                                                                                           52 Adetokunbo Ademola Street
                                                                                                           VI Lagos

        Job Responsibilities
•	Responsible for proper account management
•	Resolving issues and providing customer satisfaction
•	Generating monthly revenues by making repeat sales to existing customers and approaching potential customers with the aim of winning new business
•	Listening to customer requirements and presenting appropriately to make a sale;
•	Maintaining and developing relationships with existing customers in person and via telephone calls and emails;
•	Cold calling to arrange meetings with potential customers to prospect for new business;
•	Negotiating on price, costs, delivery and specifications with buyers and managers;
•	Challenging any objections with a view to getting the customer to buy;
•	Advising on forthcoming product developments and discussing special promotions;
•	Creating detailed proposal documents, often as part of a formal bidding process that is largely dictated by the prospective customer;
•	Reviewing your own sales performance, aiming to meet or exceed targets;
•	Gaining a clear understanding of customers' businesses and requirements;
       July 2011 – Jan 2012                                                                    Starcomms Plc
                                                                                                                Business Solutions Administrator
                                                                                                                52 Adetokunbo Ademola Street
                                                                                                                VI Lagos

         Job Responsibilities
•	Responsible for collation of daily, weekly, monthly and YTD sales report for all regions.
•	Management of all debt collection.
•	Collating of individual sales target on a daily, monthly and YTD.
•	Managing the smooth running of all present unit operational functions.
•	Collating and analyzing all team member sales commission and transport allowance.
	
Sept. 2008 –June 2011 			                         Starcomms Plc 
(NYSC Inclusive) 			                                            Customer Service – (KYC Unit)
						      1 kujore Street, Ogudu  Ojota, Lagos 


    Job Responsibilities
•	Responsible for proper profiling of all data customers for customer management purposes. 
•	Documentation of all necessary information about the company’s data subscribers under compliance with stipulated prerequisites by standard governing bodies such as the NCC and Law Enforcement Agencies like EFCC.
•	Provide accurate information on subscriber’s personal information for retention purposes.
•	Retrieval of data subscribers information (if need be) within a stipulated TAT.
•	Download of fresh activations from company’s database to ensure and monitor that all CAF sent from the service centers and franchise shops correspond. 
•	Preparation of MIS (Management information system) report for management purpose.
•	Verification of quality of service from customer (voice and data) provided by the company. 
•	Activation of registered SIM Numbers on the Intelligent Network (IN). 
•	Broadcast sms to registered customers
    	
June 2006 - Dec. 2006 			                    Synergy Systems Ltd
						Floor 1-2 Ibu-Owo House
						41, Osolo way, Ajao Estate
						Off International Airport Road
						Lagos  State.
						Industrial Training Attachment  

Job Responsibilities 
PC Maintenance 

COMPUTER SKILLS 
Proficiency in Computer fundamentals,   Internet Application,   Windows XP,  Microsoft Word & Excel 2003. 

MEMBERSHIP
Nigeria Computer Society (NCS)

HOBBIES:
Reading, Traveling, Writing and Meeting People

REFERENCES 

Pastor S.B. Makinde				                   Mrs. C.E. Eziakor
Deeper Life Bible Church			                   HSE 4, Flat 5 Festac Town 
Okota District 				                   Lagos State
Isolo Group of Districts				08034823937
Lagos  State.
08033160151, 018757459
",654
353,oceanic bank int'l plc now ecobank,e-biz rep/ csu,Sep-2007,Dec-2009,50000,NULL,2,Finance,"•	Ensuring prompt and efficient service delivery to customers.
•	Managing clients from different backgrounds and walks of life.
•	Marketing company’s products to customers to walk-in customers
•	Diffusing difficult customer situations.
•	Repairing trust, and winning customer loyalty.
•	Applying for Debit Cards for customers.
•	Distribution of Debit Cards to customers.
•	Hot listing of stolen or lost Debit Cards
",5511
