State,Country,DOB,Sex,MaritalStatus,RegDate,advertmeans,yr_exp,no,Experience,Specialization,Courselevel
Rivers State,Nigeria,36,Male,NULL,2013-02-15 00:00:00,,0,5150,0,Construction,LLB
lagos,Nigeria,4,Male,NULL,2013-02-15 00:00:00,,0,2042,-2009,Finance,LLB
LAGOS,Nigeria,40,Male,NULL,2013-02-15 00:00:00,,0,3114,10,Banking,Bsc
kaduna,Nigeria,33,Male,NULL,2013-02-15 00:00:00,,0,2175,3,Hospitality,BA
rivers state,Nigeria,38,Male,NULL,2013-02-15 00:00:00,,0,4203,1,Oil &amp; Gas,B.Tech
Rivers,Nigeria,32,Male,NULL,2013-02-15 00:00:00,,0,5753,0,Oil &amp; Gas,B.Tech
Ondo,Nigeria,33,Male,NULL,2013-02-15 00:00:00,,0,6178,0,Oil &amp; Gas,B.Tech
Lagos,Nigeria,37,Male,Married,2013-02-15 00:00:00,,0,4528,2,IT-Software,OND
Lagos,Nigeria,41,Male,NULL,2013-02-15 00:00:00,,0,461,42,Security,Bsc
Rivers State,Nigeria,33,Male,NULL,2013-02-15 00:00:00,,0,2024,0,Security,Bsc
Rivers,Nigeria,32,Male,NULL,2013-02-16 00:00:00,,0,718,-2010,Oil &amp; Gas,B.Eng
lagos,Nigeria,30,Male,NULL,2013-02-16 00:00:00,,0,907,-2011,Marketing,Bsc
Edo,Nigeria,36,Male,NULL,2013-02-16 00:00:00,,0,1752,-2008,Production,B.Eng
Abuja,Nigeria,30,Female,NULL,2013-02-17 00:00:00,,0,5792,0,Production,B.Eng
Rivers,Nigeria,30,Female,NULL,2013-02-17 00:00:00,,0,3396,0,Production,B.Eng
Abia,Nigeria,34,Female,NULL,2013-02-17 00:00:00,,0,3874,0,Production,B.Eng
Lagos,Nigeria,33,Female,NULL,2013-02-17 00:00:00,,0,3611,1,Engineering,Bsc
Imo,Nigeria,33,Male,NULL,2013-02-17 00:00:00,,0,6145,1,Medical,Bsc
Lagos,Nigeria,33,Male,NULL,2013-02-17 00:00:00,,0,798,0,Medical,Bsc
abia state,Nigeria,5,Male,NULL,2013-02-17 00:00:00,,0,4781,15,Finance,HND
Oyo State,Nigeria,30,Female,NULL,2013-02-17 00:00:00,,0,809,0,Education,BA
Lagos,Nigeria,30,Male,NULL,2013-02-18 00:00:00,,0,5453,-2005,Finance,Bsc
Edo,Nigeria,30,Male,NULL,2013-02-18 00:00:00,,0,252,0,Engineering,Bsc
lagos,Nigeria,33,Male,NULL,2013-02-18 00:00:00,,0,303,0,Engineering,Bsc
Rivers State,Nigeria,39,Male,NULL,2013-02-18 00:00:00,,0,5423,-2012,Oil &amp; Gas,B.Tech
Ekiti,Nigeria,36,Male,NULL,2013-02-18 00:00:00,,0,1750,0,Oil &amp; Gas,HND
akwa ibom state,Nigeria,34,Male,NULL,2013-02-18 00:00:00,,0,207,0,Oil &amp; Gas,HND
Lagos,Nigeria,37,Male,NULL,2013-02-18 00:00:00,,0,1334,5,HR,HND
FCT,Nigeria,38,Male,NULL,2013-02-18 00:00:00,,0,5366,1,Finance,HND
KADUNA,Nigeria,31,Male,NULL,2013-02-18 00:00:00,,0,412,0,Finance,HND
FCT,Nigeria,40,Male,NULL,2013-02-18 00:00:00,,0,3162,0,Finance,HND
Lagos,Nigeria,34,Male,NULL,2013-02-18 00:00:00,,0,4302,0,Finance,HND
Lagos,Nigeria,35,Male,NULL,2013-02-18 00:00:00,,0,1619,1,Production,Bsc
Rivers,Nigeria,34,Male,NULL,2013-02-18 00:00:00,,0,4284,0,Production,Bsc
Rivers,Nigeria,38,Male,NULL,2013-02-18 00:00:00,,0,2871,-2009,Engineering,Bsc
ENUGU,Nigeria,5,Male,NULL,2013-02-18 00:00:00,,0,1503,-2012,Site Engineering,Msc
delta state,Nigeria,29,Female,NULL,2013-02-18 00:00:00,,0,4955,0,Site Engineering,Msc
Anambra state,Nigeria,29,Female,NULL,2013-02-18 00:00:00,,0,3926,0,Site Engineering,Msc
lagos state,Nigeria,37,Male,NULL,2013-02-18 00:00:00,,0,3982,0,Site Engineering,Msc
IMO,Nigeria,29,Male,NULL,2013-02-18 00:00:00,,0,3889,1,HR,Bsc
Edo ,Nigeria,32,Male,NULL,2013-02-19 00:00:00,,0,1582,0,HR,Bsc
Lagos,Nigeria,5,Male,NULL,2013-02-19 00:00:00,,0,3109,3,Food,Bsc
edo,Nigeria,42,Male,NULL,2013-02-19 00:00:00,,0,4769,6,Marketing,HND
rivers,Nigeria,33,Male,NULL,2013-02-19 00:00:00,,0,5032,5,Telecoms,HND
F.C.T,Nigeria,30,Female,NULL,2013-02-19 00:00:00,,0,5818,0,Telecoms,Bsc
Rivers State,Nigeria,39,Female,NULL,2013-02-19 00:00:00,,0,1133,-2006,Secreatry,Bsc
Oyo,Nigeria,40,Male,NULL,2013-02-19 00:00:00,,0,5417,8,Finance,Msc
Rivers State,Nigeria,35,Male,NULL,2013-02-19 00:00:00,,0,216,0,Finance,Msc
Rivers State,Nigeria,40,Male,NULL,2013-02-19 00:00:00,,0,362,0,Finance,Msc
Lagos,Nigeria,32,Male,NULL,2013-02-19 00:00:00,,0,2433,0,Marketing,BA
delta,Nigeria,33,Male,NULL,2013-02-19 00:00:00,,0,2231,2,Site Engineering,HND
lagos,Nigeria,35,Female,NULL,2013-02-19 00:00:00,,0,3642,0,Site Engineering,HND
Lagos,Nigeria,35,Male,NULL,2013-02-19 00:00:00,,0,1809,5,Production,HND
river state,Nigeria,33,Male,NULL,2013-02-19 00:00:00,,0,2270,13,Engineering,HND
Cross River,Nigeria,36,Male,NULL,2013-02-19 00:00:00,,0,3571,0,Engineering,Bsc
Kaduna,Nigeria,38,Male,NULL,2013-02-19 00:00:00,,0,1129,-2011,Engineering,B.Eng
Lagos,Nigeria,31,Male,NULL,2013-02-19 00:00:00,,0,4137,0,Engineering,B.Eng
Lagos,Nigeria,29,Male,NULL,2013-02-20 00:00:00,,0,4596,0,Engineering,B.Eng
katsina ,Nigeria,27,Male,NULL,2013-02-20 00:00:00,,0,5083,1,Banking,B.Eng
ABIA ,Nigeria,35,Male,NULL,2013-02-20 00:00:00,,0,5841,0,Banking,B.Eng
Rivers State,Nigeria,32,Female,NULL,2013-02-20 00:00:00,,0,3594,2,Education,Bsc
Rivers state,Nigeria,31,Male,NULL,2013-02-20 00:00:00,,0,3705,0,Education,Bsc
NASARAWA,Nigeria,35,Male,NULL,2013-02-20 00:00:00,,0,1668,12,Site Engineering,B.Eng
lagos,Nigeria,5,Male,NULL,2013-02-20 00:00:00,,0,495,0,Site Engineering,B.Eng
F C T,Nigeria,36,Male,NULL,2013-02-20 00:00:00,,0,2434,4,Finance,B.Eng
FCT,Nigeria,38,Male,NULL,2013-02-21 00:00:00,,0,6091,4,Telecoms,Bsc
Lagos,Nigeria,56,Male,NULL,2013-02-21 00:00:00,,0,4207,0,Telecoms,Bsc
ross river state,Nigeria,31,Male,NULL,2013-02-21 00:00:00,,0,1915,0,Telecoms,Bsc
Lagos,Nigeria,30,Male,NULL,2013-02-21 00:00:00,,0,2535,0,Telecoms,Bsc
ANAMBRA,Nigeria,29,Female,NULL,2013-02-21 00:00:00,,0,5213,1,IT-Software,Bsc
Ogun,Nigeria,28,Male,NULL,2013-02-21 00:00:00,,0,1351,1,Site Engineering,Bsc
RIVERS STATE,Nigeria,37,Male,NULL,2013-02-21 00:00:00,,0,4142,2,Construction,HND
lagos,Nigeria,29,Male,NULL,2013-02-21 00:00:00,,0,2084,0,Finance,Bsc
Ondo,Nigeria,33,Male,NULL,2013-02-22 00:00:00,,0,1641,0,Finance,Bsc
LAGOS,Nigeria,31,Male,NULL,2013-02-22 00:00:00,,0,3780,1,Engineering,B.Tech
FCT,Nigeria,35,Female,NULL,2013-02-22 00:00:00,,0,578,0,Engineering,B.Tech
RIVERS,Nigeria,40,Male,NULL,2013-02-23 00:00:00,,0,2868,-4018,Engineering,B.Tech
FCT,Nigeria,34,Male,NULL,2013-02-25 00:00:00,,0,736,2,IT-Software,Bsc
Rivers State,Nigeria,37,Male,NULL,2013-02-25 00:00:00,,0,2223,0,IT-Software,Bsc
Osun State,Nigeria,32,Female,NULL,2013-02-25 00:00:00,,0,982,0,IT-Software,Bsc
Kaduna state,Nigeria,31,Male,NULL,2013-02-26 00:00:00,,0,3759,0,IT-Software,Bsc
Lagos,Nigeria,56,Male,NULL,2013-02-26 00:00:00,,0,3702,0,IT-Software,Bsc
Enugu,Nigeria,39,Male,NULL,2013-02-26 00:00:00,,0,2469,0,Finance,HND
lagos state ,Nigeria,32,Male,NULL,2013-02-27 00:00:00,,0,996,0,Finance,HND
ondo,Nigeria,31,Female,NULL,2013-02-28 00:00:00,,0,5802,0,Finance,HND
lagos,Nigeria,38,Female,NULL,2013-02-28 00:00:00,,0,5828,0,Finance,HND
Kaduna,Nigeria,31,Male,NULL,2013-02-28 00:00:00,,0,2239,1,Engineering,B.Eng
Lagos,Nigeria,34,Male,NULL,2013-03-01 00:00:00,,0,4651,1,Engineering,B.Tech
Lagos,Nigeria,45,Male,NULL,2013-03-01 00:00:00,,0,1329,0,Engineering,B.Tech
ogun,Nigeria,32,Male,NULL,2013-03-01 00:00:00,,0,6060,0,Engineering,B.Tech
oyo,Nigeria,30,Male,NULL,2013-03-01 00:00:00,,0,5849,1,Finance,Bsc
Edo,Nigeria,28,Female,NULL,2013-03-01 00:00:00,,0,6044,0,Finance,B.Eng
Lagos,Nigeria,35,Male,NULL,2013-03-01 00:00:00,,0,965,0,Finance,B.Tech
Oyo State,Nigeria,34,Male,NULL,2013-03-02 00:00:00,,0,543,2,Construction,HND
Edo,Nigeria,34,Male,NULL,2013-03-02 00:00:00,,0,2097,0,Construction,HND
nairobi,Kenya,55,Male,NULL,2013-03-03 00:00:00,,0,4189,0,Construction,HND
Rivers State,Nigeria,28,Male,NULL,2013-03-03 00:00:00,,0,2123,2,Construction,B.Eng
Lagos,Nigeria,30,Male,Single,2013-03-03 00:00:00,,0,5072,1,HR,Bsc
OYO STATE,Nigeria,32,Female,NULL,2013-03-04 00:00:00,,0,2115,3,Education,Bsc
Rivers,Nigeria,33,Female,NULL,2013-03-05 00:00:00,,0,4694,4,Engineering,Msc
LAGOS,Nigeria,30,Male,NULL,2013-03-05 00:00:00,,0,2875,0,Engineering,Msc
Edo,Nigeria,28,Female,NULL,2013-03-06 00:00:00,,0,5080,1,Oil &amp; Gas,B.Eng
C R ,Nigeria,30,Male,NULL,2013-03-06 00:00:00,,0,2608,0,Oil &amp; Gas,B.Eng
Oyo State,Nigeria,32,Male,NULL,2013-03-06 00:00:00,,0,5040,1,Management,B.Eng
enugu,Nigeria,28,Female,NULL,2013-03-07 00:00:00,,0,626,2,Education,B.Eng
lagos,Nigeria,35,Male,NULL,2013-03-07 00:00:00,,0,4542,-2008,Logistics,Bsc
Imo,Nigeria,30,Female,NULL,2013-03-07 00:00:00,,0,5138,0,Logistics,Bsc
River state,Nigeria,34,Male,NULL,2013-03-08 00:00:00,,0,3280,0,Finance,HND
Lagos,Nigeria,31,Male,NULL,2013-03-09 00:00:00,,0,3442,0,Finance,HND
Lagos,Nigeria,29,Male,NULL,2013-03-11 00:00:00,,0,3337,3,NGO,Msc
Rivers State,Nigeria,34,Female,NULL,2013-03-11 00:00:00,,0,622,2,Secreatry,Bsc
Rivers,Nigeria,33,Female,NULL,2013-03-12 00:00:00,,0,1083,7,Marketing,MBA
Rivers State,Nigeria,35,Male,NULL,2013-03-13 00:00:00,,0,1768,1,Engineering,Bsc
Abuja,Nigeria,33,Male,NULL,2013-03-13 00:00:00,,0,2684,6,Architecture,Msc
lagos,Nigeria,33,Male,NULL,2013-03-13 00:00:00,,0,2302,0,Architecture,Msc
lagos state ,Nigeria,32,Male,NULL,2013-03-14 00:00:00,,0,2837,0,Architecture,Msc
Enugu state,Nigeria,31,Male,NULL,2013-03-14 00:00:00,,0,5583,0,Architecture,Msc
RIVERS,Nigeria,36,Male,NULL,2013-03-14 00:00:00,,0,3525,-2012,Finance,HND
Lagos,Nigeria,37,Male,NULL,2013-03-15 00:00:00,,0,353,0,Production,B.Tech
lagos,Nigeria,33,Female,NULL,2013-03-15 00:00:00,,0,3557,0,Production,B.Tech
River State,Nigeria,40,Male,NULL,2013-03-15 00:00:00,,0,1796,0,Production,B.Tech
delta,Nigeria,31,Male,NULL,2013-03-15 00:00:00,,0,290,2,Production,HND
TANZANIA,"Tanzania, United Republic of",33,Male,NULL,2013-03-15 00:00:00,,0,3796,3,Finance,BA
Lagos,Nigeria,32,Female,NULL,2013-03-16 00:00:00,,0,5309,0,Finance,B.Tech
Osun,Nigeria,34,Male,NULL,2013-03-17 00:00:00,,0,6172,0,Finance,HND
NULL,NULL,28,Male,NULL,2013-03-17 00:00:00,,0,4060,0,Finance,HND
Enugu,Nigeria,31,Male,NULL,2013-03-17 00:00:00,,0,679,2,Engineering,HND
imo state,Nigeria,34,Female,NULL,2013-03-17 00:00:00,,0,779,0,Engineering,HND
delta state,Nigeria,42,Male,NULL,2013-03-18 00:00:00,,0,2106,7,Oil &amp; Gas,B.Eng
Rivers,Nigeria,32,Male,NULL,2013-03-18 00:00:00,,0,1537,0,Oil &amp; Gas,B.Eng
lagos,Nigeria,29,Male,NULL,2013-03-18 00:00:00,,0,3489,3,Telecoms,OND
Lagos,Nigeria,37,Male,NULL,2013-03-19 00:00:00,,0,4583,0,Telecoms,OND
Rivers state,Nigeria,40,Male,NULL,2013-03-20 00:00:00,,0,4208,15,Engineering,B.Eng
Lagos,Nigeria,30,Male,NULL,2013-03-20 00:00:00,,0,2149,0,Engineering,B.Eng
Oyo,Nigeria,30,Female,NULL,2013-03-21 00:00:00,,0,2980,0,Engineering,B.Eng
FCT,Nigeria,25,Female,NULL,2013-03-21 00:00:00,,0,3484,0,Engineering,B.Eng
RIVERS STATE,Nigeria,29,Male,NULL,2013-03-22 00:00:00,,0,4533,0,Engineering,B.Eng
RIVERS,Nigeria,34,Male,NULL,2013-03-22 00:00:00,,0,3932,0,Engineering,B.Eng
Rivers State,Nigeria,34,Male,NULL,2013-03-22 00:00:00,,0,2605,2,Finance,Msc
lagos,Nigeria,38,Male,NULL,2013-03-25 00:00:00,,0,1078,0,Finance,HND
imo state,Nigeria,28,Female,NULL,2013-03-26 00:00:00,,0,4015,0,Finance,Bsc
Rivers State,Nigeria,32,Male,NULL,2013-03-26 00:00:00,,0,2727,1,Site Engineering,B.Eng
Rivers State,Nigeria,37,Male,NULL,2013-03-26 00:00:00,,0,5801,3,Consulting,HND
Lagos State,Nigeria,39,Male,NULL,2013-04-01 00:00:00,,0,1408,0,Consulting,HND
rivers,Nigeria,31,Male,NULL,2013-04-02 00:00:00,,0,5216,-2013,Construction,Bsc
Non-US/Non-Canadian,Nigeria,33,Male,NULL,2013-04-03 00:00:00,,0,3773,-2009,Education,B.Tech
ogun,Nigeria,33,Male,NULL,2013-04-04 00:00:00,,0,3949,8,Hospitality,OND
Rivers,Nigeria,29,Male,NULL,2013-04-04 00:00:00,,0,5861,4,Oil &amp; Gas,OND
Kaduna,Nigeria,31,Male,NULL,2013-04-04 00:00:00,,0,2602,0,Oil &amp; Gas,OND
Kaduna,Nigeria,38,Male,NULL,2013-04-04 00:00:00,,0,5246,0,Oil &amp; Gas,OND
KADUNA,Nigeria,27,Male,NULL,2013-04-05 00:00:00,,0,684,0,Oil &amp; Gas,B.Eng
Lagos ,Nigeria,31,Male,NULL,2013-04-06 00:00:00,,0,5617,1,Finance,Bsc
Rivers,Nigeria,31,Male,NULL,2013-04-08 00:00:00,,0,2267,1,Education,Bsc
Rivers,Nigeria,34,Female,NULL,2013-04-12 00:00:00,,0,3458,7,Finance,HND
Lagos,Nigeria,30,Female,NULL,2013-04-12 00:00:00,,0,2040,0,Finance,HND
Rivers state,Nigeria,37,Female,NULL,2013-04-12 00:00:00,,0,5082,0,Finance,Bsc
Lagos,Nigeria,36,Female,NULL,2013-04-13 00:00:00,,0,596,-2010,IT-Hardware,B.Eng
14,Ethiopia,30,Male,NULL,2013-04-17 00:00:00,,0,3071,0,IT-Hardware,B.Eng
Delta,Nigeria,30,Male,NULL,2013-04-24 00:00:00,,0,3798,0,IT-Hardware,B.Eng
Edocity's state,Nigeria,31,Female,NULL,2013-04-26 00:00:00,,0,4124,0,Education,Bsc
Enugu State,Nigeria,28,Female,NULL,2013-04-29 00:00:00,,0,739,1,Medical,Bsc
Rivers,Nigeria,30,Male,NULL,2013-04-30 00:00:00,,0,5581,0,Medical,Bsc
Senegal,Senegal,49,Male,NULL,2013-05-01 00:00:00,,0,5252,0,Medical,Bsc
rivers,Nigeria,42,Male,NULL,2013-05-03 00:00:00,,0,4579,0,Medical,Bsc
Enugu State,Nigeria,28,Female,NULL,2013-05-03 00:00:00,,0,1820,0,Medical,Bsc
karnataka,India,26,Male,Single,2013-05-04 00:00:00,,0,5892,0,Medical,Bsc
Rivers,Nigeria,36,Female,NULL,2013-05-04 00:00:00,,0,2791,2,Finance,Bsc
Lagos,Nigeria,37,Female,NULL,2013-05-05 00:00:00,,0,5357,1,Telecoms,Msc
Rivers State,Nigeria,38,Male,NULL,2013-05-10 00:00:00,,0,2274,3,Production,B.Tech
Lagos,Nigeria,31,Male,NULL,2013-05-10 00:00:00,,0,2581,0,Production,B.Tech
Akwa Ibom,Nigeria,28,Female,NULL,2013-05-15 00:00:00,,0,5911,0,Production,B.Eng
lagos state,Nigeria,27,Female,NULL,2013-05-15 00:00:00,,0,5239,0,Production,B.Eng
Rivers,Nigeria,33,Male,NULL,2013-05-15 00:00:00,,0,5034,6,Production,HND
Osun,Nigeria,30,Male,NULL,2013-05-15 00:00:00,,0,2825,0,Production,Bsc
rivers state,Nigeria,25,Female,NULL,2013-05-16 00:00:00,,0,5509,0,Production,Bsc
lagos,Nigeria,37,Male,NULL,2013-05-16 00:00:00,,0,3394,0,Production,Bsc
Rivers,Nigeria,32,Male,NULL,2013-05-20 00:00:00,,0,400,-2009,IT-Hardware,Bsc
Edo State,Nigeria,32,Female,NULL,2013-05-21 00:00:00,,0,377,0,IT-Hardware,Bsc
IMO ,Nigeria,29,Female,NULL,2013-05-23 00:00:00,,0,4246,0,IT-Hardware,Bsc
river state,Nigeria,35,Male,NULL,2013-05-23 00:00:00,,0,3171,0,IT-Hardware,Bsc
rivers,Nigeria,28,Female,NULL,2013-05-27 00:00:00,,0,5038,0,IT-Hardware,Bsc
lagos state,Nigeria,37,Male,NULL,2013-05-28 00:00:00,,0,2423,6,IT-Hardware,Bsc
Rivers State,Nigeria,39,Male,NULL,2013-05-29 00:00:00,,0,155,7,Marketing,LLB
Rivers,Nigeria,43,Male,NULL,2013-05-29 00:00:00,,0,905,-4019,Finance,LLB
Enugu State,Nigeria,28,Female,NULL,2013-05-29 00:00:00,,0,2773,0,Medical,Bsc
Rivers,Nigeria,36,Male,NULL,2013-05-31 00:00:00,,0,2828,4,Construction,B.Tech
NULL,NULL,28,Male,NULL,2013-06-05 00:00:00,,0,4392,0,Construction,MA
Lagos,Nigeria,33,Male,NULL,2013-06-07 00:00:00,,0,2738,2,Finance,Bsc
rivers state,Nigeria,4,Female,NULL,2013-06-07 00:00:00,,0,3197,0,Finance,Bsc
lagos,Nigeria,37,Female,NULL,2013-06-07 00:00:00,,0,3782,1,Telecoms,Bsc
F.C.T,Nigeria,27,Male,NULL,2013-06-07 00:00:00,,0,5047,1,NGO,Bsc
Rivers state,Nigeria,29,Male,NULL,2013-06-10 00:00:00,,0,2147,0,NGO,Bsc
Katsina ,Nigeria,30,Male,NULL,2013-06-11 00:00:00,,0,1497,0,Finance,Bsc
juyr,Nigeria,4,Female,NULL,2013-06-17 00:00:00,,0,752,0,Finance,Bsc
bg2uye,Nigeria,4,Male,NULL,2013-06-17 00:00:00,,0,4213,0,Finance,Bsc
Rivers,Nigeria,35,Female,NULL,2013-06-19 00:00:00,,0,2018,0,Finance,Bsc
Rivers,Nigeria,28,Female,NULL,2013-06-19 00:00:00,,0,1895,0,Finance,Bsc
Edo,Nigeria,35,Male,NULL,2013-06-19 00:00:00,,0,246,0,Finance,Bsc
Rivers State,Nigeria,31,Female,NULL,2013-06-20 00:00:00,,0,2442,0,Finance,Bsc
Edo,Nigeria,35,Male,NULL,2013-06-21 00:00:00,,0,5226,0,Finance,Bsc
Lagos,Nigeria,41,Female,NULL,2013-06-23 00:00:00,,0,5842,5,Telecoms,Bsc
uganda,Uganda,29,Male,NULL,2013-06-25 00:00:00,,0,5799,-6037,NGO,BA
lagos,Nigeria,24,Male,NULL,2013-06-26 00:00:00,,0,2345,0,NGO,BA
Lagos State,Nigeria,33,Male,NULL,2013-06-27 00:00:00,,0,919,0,NGO,BA
Lagos,Nigeria,33,Female,NULL,2013-06-28 00:00:00,,0,4052,0,NGO,BA
Cross River,Nigeria,30,Female,NULL,2013-06-28 00:00:00,,0,1855,0,NGO,BA
Lagos,Nigeria,41,Female,NULL,2013-06-29 00:00:00,,0,1411,0,NGO,BA
Delta,Nigeria,26,Female,NULL,2013-06-29 00:00:00,,0,4587,0,Finance,BA
rivers state,Nigeria,25,Female,NULL,2013-06-29 00:00:00,,0,206,0,Finance,BA
Rivers state,Nigeria,30,Female,NULL,2013-06-30 00:00:00,,0,1027,0,Finance,Bsc
Rivers state,Nigeria,34,Male,NULL,2013-06-30 00:00:00,,0,2179,0,Finance,Bsc
rivers state,Nigeria,33,Male,NULL,2013-07-01 00:00:00,,0,3622,3,Maritime,HND
Rivers State,Nigeria,28,Male,NULL,2013-07-01 00:00:00,,0,2474,0,Maritime,Bsc
Rivers State,Nigeria,28,Male,NULL,2013-07-01 00:00:00,,0,4506,0,Finance,Bsc
Abia State,Nigeria,35,Male,NULL,2013-07-01 00:00:00,,0,5410,0,Finance,Bsc
Imo,Nigeria,31,Male,NULL,2013-07-01 00:00:00,,0,2316,0,Finance,Bsc
Delta,Nigeria,29,Male,NULL,2013-07-01 00:00:00,,0,1925,0,Finance,Bsc
lagos,Nigeria,30,Male,NULL,2013-07-01 00:00:00,,0,519,0,Finance,Bsc
Delta,Nigeria,29,Male,NULL,2013-07-02 00:00:00,,0,2808,2,Construction,HND
Osun,Nigeria,30,Male,NULL,2013-07-02 00:00:00,,0,1046,0,Finance,B.Tech
Abia State,Nigeria,31,Male,NULL,2013-07-02 00:00:00,,0,2096,0,Finance,HND
Oyo,Nigeria,32,Female,NULL,2013-07-02 00:00:00,,0,2085,0,Finance,HND
Ogun,Nigeria,30,Female,NULL,2013-07-02 00:00:00,,0,2032,0,Finance,HND
Lagos,Nigeria,33,Male,NULL,2013-07-02 00:00:00,,0,6085,0,Finance,HND
Enugu,Nigeria,32,Female,NULL,2013-07-02 00:00:00,,0,1125,0,Finance,HND
Ebonyi,Nigeria,29,Male,NULL,2013-07-02 00:00:00,,0,1975,0,Finance,HND
Rivers State,Nigeria,31,Male,NULL,2013-07-02 00:00:00,,0,4289,0,Finance,HND
Nassarawa,Nigeria,29,Male,NULL,2013-07-02 00:00:00,,0,159,0,Finance,Bsc
Oyo,Nigeria,31,Female,NULL,2013-07-02 00:00:00,,0,4979,0,Finance,B.Tech
Edo,Nigeria,32,Male,NULL,2013-07-02 00:00:00,,0,5454,0,Finance,Bsc
Rivers State,Nigeria,27,Female,NULL,2013-07-02 00:00:00,,0,3047,0,Finance,Bsc
Lagos,Nigeria,30,Female,NULL,2013-07-02 00:00:00,,0,4255,0,Finance,HND
Imo State,Nigeria,31,Male,NULL,2013-07-02 00:00:00,,0,5159,1,Engineering,B.Eng
Nassarawa,Nigeria,33,Female,NULL,2013-07-02 00:00:00,,0,5891,0,Engineering,B.Eng
Oyo,Nigeria,33,Male,NULL,2013-07-02 00:00:00,,0,4011,0,Finance,HND
Lagos State,Nigeria,32,Female,NULL,2013-07-02 00:00:00,,0,3229,0,Finance,HND
Delta state,Nigeria,31,Male,NULL,2013-07-02 00:00:00,,0,2929,2,Engineering,B.Eng
Rivers State,Nigeria,28,Male,NULL,2013-07-02 00:00:00,,0,3352,0,Finance,B.Tech
Rivers State,Nigeria,28,Male,NULL,2013-07-02 00:00:00,,0,269,0,Finance,B.Eng
Lagos State,Nigeria,32,Male,NULL,2013-07-02 00:00:00,,0,3057,0,Finance,Bsc
Rivers,Nigeria,31,Male,NULL,2013-07-02 00:00:00,,0,2403,3,Production,HND
Rivers State,Nigeria,32,Female,NULL,2013-07-02 00:00:00,,0,4775,1,Finance,HND
Rivers State,Nigeria,31,Male,NULL,2013-07-03 00:00:00,,0,481,4,Construction,HND
Delta ,Nigeria,33,Male,NULL,2013-07-03 00:00:00,,0,5819,4,Secreatry,BA
Enugu State,Nigeria,34,Female,NULL,2013-07-03 00:00:00,,0,4581,2,Engineering,Bsc
Akwa Ibom,Nigeria,33,Male,NULL,2013-07-03 00:00:00,,0,3354,2,Engineering,HND
Imo State,Nigeria,33,Male,NULL,2013-07-03 00:00:00,,0,1773,0,Finance,HND
Rivers,Nigeria,32,Male,NULL,2013-07-03 00:00:00,,0,4790,1,Advertising,HND
Imo State,Nigeria,31,Male,NULL,2013-07-03 00:00:00,,0,4739,1,Real Estate,HND
Kogi State,Nigeria,31,Female,NULL,2013-07-03 00:00:00,,0,1633,0,Finance,BA
Rivers State,Nigeria,34,Male,NULL,2013-07-03 00:00:00,,0,544,4,Advertising,BA
Rivers State,Nigeria,31,Female,NULL,2013-07-03 00:00:00,,0,5358,3,Secreatry,Bsc
Abia state,Nigeria,31,Female,NULL,2013-07-03 00:00:00,,0,4939,0,Secreatry,Bsc
Abuja,Nigeria,30,Female,NULL,2013-07-03 00:00:00,,0,6101,4,Finance,Bsc
Lagos,Nigeria,30,Female,NULL,2013-07-03 00:00:00,,0,2519,0,Finance,Bsc
Rivers State,Nigeria,32,Male,NULL,2013-07-04 00:00:00,,0,3498,0,Finance,Bsc
Abia State,Nigeria,29,Male,NULL,2013-07-04 00:00:00,,0,4360,0,IT-Hardware,Bsc
Edo,Nigeria,32,Male,NULL,2013-07-04 00:00:00,,0,4657,1,IT-Project,B.Eng
Rivers,Nigeria,31,Male,NULL,2013-07-04 00:00:00,,0,6147,0,Finance,Bsc
Abuja,Nigeria,31,Female,NULL,2013-07-04 00:00:00,,0,1913,0,Finance,Bsc
Akwa Ibom State,Nigeria,29,Female,NULL,2013-07-04 00:00:00,,0,1389,0,Finance,Bsc
Anambra State,Nigeria,29,Female,NULL,2013-07-04 00:00:00,,0,2221,0,Finance,Bsc
Abia State,Nigeria,27,Female,NULL,2013-07-04 00:00:00,,0,4923,0,Finance,BA
Edo State,Nigeria,28,Female,NULL,2013-07-04 00:00:00,,0,2832,0,Finance,Bsc
Imo State,Nigeria,31,Female,NULL,2013-07-04 00:00:00,,0,4356,0,Logistics,Bsc
Delta,Nigeria,29,Female,NULL,2013-07-04 00:00:00,,0,3602,1,NGO,BA
Kebbi State,Nigeria,27,Male,NULL,2013-07-04 00:00:00,,0,5963,0,NGO,BA
Nassarawa,Nigeria,28,Male,NULL,2013-07-04 00:00:00,,0,1121,1,Engineering,Bsc
Rivers State,Nigeria,28,Female,NULL,2013-07-04 00:00:00,,0,5985,0,Finance,Bsc
Enugu,Nigeria,31,Female,NULL,2013-07-04 00:00:00,,0,5681,2,Advertising,HND
Edo,Nigeria,29,Male,NULL,2013-07-04 00:00:00,,0,571,0,Finance,B.Eng
Akwa Ibom State,Nigeria,32,Female,NULL,2013-07-04 00:00:00,,0,2410,0,Consulting,HND
Imo State,Nigeria,32,Female,NULL,2013-07-04 00:00:00,,0,5375,-8,IT-Project,HND
Rivers State,Nigeria,31,Male,NULL,2013-07-04 00:00:00,,0,1392,0,Finance,HND
Imo State,Nigeria,32,Male,NULL,2013-07-04 00:00:00,,0,5016,1,Logistics,HND
